"filename", "language", "Markdown", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Charge.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Cursed.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Dabilitated.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\GodKiller.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Impatience.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\LeadPoisoning.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\LightHeaded.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Plague.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\RadiationSickness.cs", "C#", 0, 20, 0, 0, 0, 5, 25
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\RocketStormCooldown.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Stamina.cs", "C#", 0, 11, 0, 0, 0, 3, 14
